,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1850,5,#N/A,0,6,1,0,31,20,4,4,#N/A,0,8,11,6,0,9,15,12,19,32,12,6,5,6,0,0,0,16,44,6,29,3,0,20,0,7,27,31,5,0,5,1,7,15,8,0,       -,10,0
1860,9,#N/A,0,10,6,0,36,31,6,6,#N/A,0,20,22,12,7,15,22,14,30,37,23,10,12,12,0,0,5,19,60,2,38,6,0,33,0,7,39,38,9,0,13,3,15,22,12,6,       -,17,0
1870,4,#N/A,6,4,12,8,42,36,3,3,#N/A,5,28,28,20,13,13,8,14,30,34,32,12,5,14,4,0,7,18,69,2,46,3,0,39,0,9,46,34,3,0,9,3,12,25,9,6,10,21,3
1880,4,#N/A,8,6,16,22,49,34,6,4,#N/A,9,32,31,23,11,14,7,16,32,44,36,14,6,13,8,11,10,20,65,9,44,6,8,46,0,14,49,50,5,5,10,5,21,22,11,10,13,23,7
1890,6,#N/A,6,8,33,18,42,38,20,6,#N/A,13,41,37,28,19,16,9,16,35,43,38,18,7,20,13,19,7,19,60,10,44,8,10,45,5,17,50,47,8,9,12,8,21,18,13,20,15,28,8
1900,7,#N/A,7,8,25,11,42,32,9,7,#N/A,13,54,39,43,15,17,13,15,34,50,33,26,8,25,5,19,6,19,57,4,39,9,13,42,7,13,46,51,9,12,13,6,12,18,14,14,16,35,3
1910,14,#N/A,38,18,52,30,63,51,22,18,#N/A,46,108,75,96,40,29,23,25,48,68,48,41,18,50,19,47,15,26,84,10,54,20,29,69,26,39,56,63,25,39,24,16,35,24,27,49,26,57,11
1920,28,#N/A,30,43,105,35,100,69,47,45,#N/A,69,188,126,227,62,60,47,38,81,99,75,109,43,88,22,88,28,35,110,9,9,54,41,113,43,50,75,80,65,71,53,32,48,38,55,69,43,99,20
1925,25,#N/A,13,35,115,25,110,66,82,27,#N/A,46,137,85,149,50,43,37,38,77,108,71,80,29,61,14,60,17,38,136,6,71,50,30,88,34,44,72,90,43,45,42,28,38,35,52,58,40,87,9
1930,29,#N/A,18,34,112,22,151,74,84,26,#N/A,45,109,72,124,49,44,45,42,81,130,68,69,33,53,12,56,16,39,170,7,73,47,25,79,37,38,79,124,36,35,41,29,39,37,51,57,39,79,9
1935,19,#N/A,9,21,76,14,136,56,53,17,#N/A,31,70,51,72,31,30,28,30,55,116,45,42,19,31,8,34,12,32,122,5,56,31,18,56,22,26,54,115,23,19,29,19,25,29,34,38,25,53,6
1940,21,#N/A,6,25,71,12,135,61,39,20,#N/A,33,82,63,79,30,38,35,29,65,109,51,44,25,32,8,24,13,34,122,5,55,39,13,66,24,27,59,119,30,13,36,19,21,30,41,39,30,52,6
1945,29,#N/A,8,38,99,16,165,79,38,28,#N/A,39,116,90,105,41,52,47,35,84,128,65,55,33,43,9,36,12,40,161,7,62,54,17,85,31,35,67,135,40,18,49,25,25,34,53,54,39,61,7
1950,49,#N/A,18,60,162,33,248,114,57,43,#N/A,73,174,137,161,66,81,82,54,125,190,99,84,55,64,17,58,19,73,293,16,92,99,29,136,51,63,107,230,69,31,77,46,48,56,82,87,59,89,14
1954,58,#N/A,26,77,227,40,289,157,107,60,#N/A,90,230,194,199,80,95,112,61,177,224,133,106,74,79,24,72,27,86,404,21,107,128,36,185,63,78,134,309,87,39,93,62,48,61,106,115,68,101,15
1959,89,#N/A,49,109,379,53,444,236,218,97,#N/A,112,316,265,254,100,135,171,83,284,310,193,154,106,112,35,89,31,105,520,23,146,186,52,247,84,87,185,380,134,52,130,82,60,81,139,131,74,132,21
1964,125,#N/A,53,178,468,70,561,322,286,135,#N/A,132,357,310,272,122,181,233,100,422,386,233,166,150,150,42,109,38,132,662,35,177,252,67,295,121,115,228,485,171,62,179,112,71,109,183,154,91,155,28
1969,200,#N/A,70,260,479,95,921,499,355,234,#N/A,177,490,406,392,159,253,321,161,640,565,326,226,234,224,60,154,53,239,1092,42,273,333,94,399,173,150,373,734,261,84,268,148,92,224,286,224,136,232,41
1974,364,#N/A,111,419,653,188,1525,971,685,474,#N/A,339,846,720,719,296,427,512,341,1060,961,553,429,379,396,112,282,85,564,1807,78,510,590,195,706,302,250,734,1500,467,145,467,243,188,462,558,350,300,434,80
1978,639,#N/A,199,770,1186,322,2227,1500,1149,777,#N/A,585,1858,1589,1550,501,861,1001,538,1800,1443,975,901,681,726,196,525,191,919,2701,143,670,1051,347,1483,512,504,1273,2370,773,256,860,386,400,660,930,692,592,856,144
1982,826,#N/A,289,972,1918,454,2655,1829,1576,929,#N/A,814,1837,1610,1684,601,1049,1351,708,2121,1963,1223,1165,894,856,259,701,249,1174,3140,178,817,1314,439,1504,699,705,1520,2760,946,348,1014,544,560,842,1125,933,688,1113,193
